50.0,0.0,14.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344.54,411.79,478.25,543.72,608.02,671.02,732.60,792.66,851.15,908.03,963.29,1016.96,1069.05,1119.63,1168.74,1216.45,1262.83,1307.96,1351.90,1394.72,1436.49,1477.25,1517.07,1555.98,1594.01,1631.19,1667.53,1703.04,1737.72,1771.58,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
340.24,407.95,474.83,540.68,605.32,668.60,730.39,790.61,849.18,906.09,961.33,1014.92,1066.89,1117.31,1166.23,1213.73,1259.88,1304.76,1348.45,1391.03,1432.54,1473.07,1512.65,1551.33,1589.15,1626.12,1662.27,1697.59,1732.09,1765.77,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
335.96,404.14,471.46,537.71,602.70,666.26,728.27,788.63,847.29,904.22,959.42,1012.92,1064.75,1114.99,1163.71,1210.97,1256.88,1301.50,1344.93,1387.24,1428.50,1468.77,1508.11,1546.56,1584.15,1620.92,1656.87,1692.00,1726.33,1759.83,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
331.70,400.37,468.15,534.82,600.16,664.01,726.24,786.74,845.48,902.41,957.56,1010.95,1062.63,1112.67,1161.16,1208.18,1253.82,1298.17,1341.32,1383.35,1424.33,1464.34,1503.43,1541.64,1579.01,1615.57,1651.32,1686.27,1720.41,1753.74,1786.23,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
327.47,396.65,464.91,532.00,597.71,661.85,724.29,784.94,843.74,900.67,955.74,1009.01,1060.51,1110.35,1158.59,1205.34,1250.70,1294.76,1337.61,1379.35,1420.05,1459.78,1498.61,1536.58,1573.72,1610.06,1645.61,1680.38,1714.35,1747.50,1779.82,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
323.26,392.97,461.73,529.27,595.35,659.79,722.45,783.23,842.08,898.99,953.98,1007.09,1058.41,1108.01,1155.99,1202.45,1247.51,1291.26,1333.80,1375.23,1415.64,1455.08,1493.64,1531.35,1568.26,1604.38,1639.73,1674.31,1708.11,1741.10,1773.26,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
319.07,389.34,458.62,526.62,593.09,657.83,720.70,781.60,840.50,897.37,952.25,1005.21,1056.31,1105.65,1153.35,1199.51,1244.24,1287.66,1329.88,1370.99,1411.08,1450.24,1488.51,1525.96,1562.63,1598.53,1633.67,1668.07,1701.69,1734.52,1766.52,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
314.91,385.77,455.59,524.07,590.93,655.98,719.06,780.08,838.99,895.81,950.58,1003.34,1054.21,1103.28,1150.67,1196.49,1240.89,1283.96,1325.84,1366.61,1406.38,1445.23,1483.21,1520.39,1556.81,1592.48,1627.43,1661.63,1695.09,1727.76,1759.61,1790.59,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
310.78,382.25,452.64,521.61,588.88,654.24,717.52,778.64,837.57,894.32,948.94,1001.50,1052.10,1100.87,1147.93,1193.41,1237.44,1280.16,1321.67,1362.09,1401.53,1440.05,1477.74,1514.64,1550.80,1586.24,1620.97,1655.00,1688.28,1720.80,1752.51,1783.34,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
306.68,378.80,449.78,519.27,586.95,652.61,716.09,777.31,836.23,892.89,947.34,999.67,1049.99,1098.44,1145.14,1190.25,1233.90,1276.23,1317.36,1357.42,1396.50,1434.70,1472.07,1508.69,1544.58,1579.79,1614.31,1648.14,1681.26,1713.64,1745.20,1775.90,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
302.61,375.41,447.01,517.03,585.14,651.11,714.78,776.07,834.97,891.51,945.77,997.84,1047.86,1095.96,1142.29,1187.00,1230.25,1272.18,1312.91,1352.59,1391.30,1429.15,1466.21,1502.53,1538.16,1573.12,1607.42,1641.06,1674.02,1706.24,1737.68,1768.25,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
298.56,372.08,444.34,514.92,583.47,649.74,713.59,774.94,833.79,890.19,944.23,996.02,1045.71,1093.43,1139.36,1183.66,1226.48,1267.98,1308.31,1347.59,1385.92,1423.42,1460.14,1496.16,1531.51,1566.22,1600.30,1633.75,1666.53,1698.61,1729.92,1760.37,1789.87,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00,1792.00
